"","date","government_name","government_ID","district_name","district_ID","petrol","diesel","bottled_water","treated_water","soap","laundry_powder","sanitary_napkins","cost_cubic_meter","exchange_rates","num_obs"
"1","2020-06-01","Abyan","YE12","Khanfir","YE1211",300,325,200,100,168,100,556,2700,745,5
"2","2020-06-01","Sana'a City","YE13","Az'zal","YE1303",295,345,100,100,150,120,550,7000,595,3
"3","2020-06-01","Sana'a City","YE13","As Sabain","YE1305",800,900,120,150,139,120,500,1000,620,3
"4","2020-06-01","Sana'a City","YE13","Al Wahdah","YE1306",NA,NA,120,100,137.5,109,500,700,617,5
"5","2020-06-01","Sana'a City","YE13","Ma'ain","YE1308",NA,NA,120,100,120,91,500,650,617,5
"6","2020-06-01","Sana'a City","YE13","Ath'thaorah","YE1309",295,345,100,100,120,150,550,8000,595,3
"7","2020-06-01","Sana'a City","YE13","Bani Al Harith","YE1310",295,345,100,100,120,150,550,5000,595,3
"8","2020-06-01","Al Bayda","YE14","Rada'","YE1413",NA,345,100,165,NA,NA,NA,NA,617,3
"9","2020-06-01","Taizz","YE15","Al  Mukha","YE1505",320,367.5,185,NA,155,140,500,NA,742.5,4
"10","2020-06-01","Taizz","YE15","Jabal Habashy","YE1508",325,350,159,100,150,115,575,6000,747.5,14
"11","2020-06-01","Taizz","YE15","Dimnat Khadir","YE1512",312.5,347.5,145,100,180,150,575,3150,620,3
"12","2020-06-01","Taizz","YE15","Ash Shamayatayn","YE1514",315,350,150,100,155,119,500,2050,744.5,4
"13","2020-06-01","Taizz","YE15","Al Wazi'iyah","YE1515",325,350,120,NA,150,150,NA,NA,737,3
"14","2020-06-01","Taizz","YE15","At Ta'iziyah","YE1520",295,345,200,100,200,150,600,3500,620,3
"15","2020-06-01","Taizz","YE15","Al Ma'afer","YE1521",315,350,150,100,150,120,500,2000,740,7
"16","2020-06-01","Taizz","YE15","Al Mawasit","YE1522",325,375,150,100,133,118,600,3750,740,8
"17","2020-06-01","Al Jawf","YE16","Al Hazm","YE1605",750,NA,200,1000,250,100,780,1500,670,3
"18","2020-06-01","Hajjah","YE17","Abs","YE1704",600,700,150,100,150,150,500,2000,616,3
"19","2020-06-01","Hajjah","YE17","Aslem","YE1712",700,750,150,100,150,120,500,2500,600,3
"20","2020-06-01","Hajjah","YE17","Kuhlan Affar","YE1718",1500,750,100,NA,150,120,600,4000,617,10
"21","2020-06-01","Hajjah","YE17","Ku'aydinah","YE1722",700,750,150,100,150,120,500,2000,600,4
"22","2020-06-01","Hajjah","YE17","Bani Qa'is","YE1724",NA,NA,150,NA,150,140,500,2500,615,5
"23","2020-06-01","Hajjah","YE17","Ash Shaghadirah","YE1725",NA,NA,150,NA,140,135,500,2000,615,5
"24","2020-06-01","Al Hudaydah","YE18","Az Zuhrah","YE1801",700,750,150,100,150,120,500,2000,600,3
"25","2020-06-01","Al Hudaydah","YE18","Al Khawkhah","YE1820",325,350,200,NA,150,120,NA,NA,740,3
"26","2020-06-01","Al Hudaydah","YE18","Al Hawak","YE1821",NA,NA,150,NA,130,130,500,NA,618,3
"27","2020-06-01","Al Hudaydah","YE18","Zabid","YE1824",NA,NA,160,NA,130,130,460,NA,620,7
"28","2020-06-01","Hadramaut","YE19","Sayun","YE1910",285,305,100,545,183,150,600,4000,748,3
"29","2020-06-01","Hadramaut","YE19","Tarim","YE1911",285,305,100,550,150,104,600,3000,745,3
"30","2020-06-01","Hadramaut","YE19","Al Mukalla City","YE1927",270,290,120,120,200,120,500,5000,735,3
"31","2020-06-01","Dhamar","YE20","Dhamar City","YE2008",750,850,150,500,150,120,500,1000,622,3
"32","2020-06-01","Sana'a","YE23","Sanhan","YE2305",NA,345,100,165,NA,NA,NA,NA,618,3
"33","2020-06-01","Sana'a","YE23","Bani Matar","YE2307",NA,345,100,165,NA,NA,NA,NA,618,3
"34","2020-06-01","Aden","YE24","Ash Shaikh Outhman","YE2402",280,290,200,100,150,100,550,800,740,10
"35","2020-06-01","Aden","YE24","Al Buraiqeh","YE2404",280,290,80,150,158,91,600,3300,736,3
"36","2020-06-01","Aden","YE24","Craiter","YE2407",300,320,200,300,200,112,500,1200,NA,3
"37","2020-06-01","Aden","YE24","Khur Maksar","YE2408",280,290,150,100,150,95,550,5000,745,5
"38","2020-06-01","Lahj","YE25","Al Milah","YE2508",280,320,200,NA,200,118,600,2000,744,6
"39","2020-06-01","Lahj","YE25","Al Maqatirah","YE2512",325,350,200,NA,200,116,550,2000,NA,3
"40","2020-06-01","Lahj","YE25","Al  Hawtah","YE2514",300,325,200,300,200,116,500,1400,NA,3
"41","2020-06-01","Lahj","YE25","Tuban","YE2515",NA,320,150,100,150,91,600,1000,744,8
"42","2020-06-01","Marib","YE26","Marib City","YE2612",175,325,65,50,150,130,550,1000,740,3
"43","2020-06-01","Amran","YE29","Jabal Iyal Yazid","YE2912",NA,NA,125,110,165,127,500,1200,615,5
"44","2020-06-01","Amran","YE29","Amran","YE2915",NA,NA,125,100,175,118,500,1000,618,5
"45","2020-06-01","Amran","YE29","Iyal Surayh","YE2918",NA,NA,130,350,150,120,550,1000,620,3
"46","2020-06-01","Al Dhale'e","YE30","Ad Dhale'e","YE3006",295,310,150,150,200,100,450,2250,710,5
"47","2020-05-01","Ibb","YE11","Al Makhadir","YE1107",295,345,150,100,200,150,600,2166.5,598,5
"48","2020-05-01","Sana'a City","YE13","Az'zal","YE1303",295,345,100,100,150,120,550,7000,595,3
"49","2020-05-01","Sana'a City","YE13","Al Wahdah","YE1306",295,345,120,100,145,104.5,490,500,599,5
"50","2020-05-01","Sana'a City","YE13","Ma'ain","YE1308",295,345,110,100,120,95.5,500,500,599,5
"51","2020-05-01","Sana'a City","YE13","Ath'thaorah","YE1309",295,345,120,150,139,110,450,750,598,3
"52","2020-05-01","Sana'a City","YE13","Bani Al Harith","YE1310",295,345,100,100,120,150,550,6000,595,3
"53","2020-05-01","Taizz","YE15","Mawza","YE1507",270,330,200,NA,150,120,NA,NA,695,3
"54","2020-05-01","Taizz","YE15","Jabal Habashy","YE1508",250,315,130,100,113,88,350,6000,695,13
"55","2020-05-01","Taizz","YE15","Dimnat Khadir","YE1512",295,345,150,100,200,150,600,2416.5,598,5
"56","2020-05-01","Taizz","YE15","Ash Shamayatayn","YE1514",250,325,150,100,155,112,552.5,5000,699.5,4
"57","2020-05-01","Taizz","YE15","Al Wazi'iyah","YE1515",260,310,200,NA,150,120,NA,NA,695,3
"58","2020-05-01","Taizz","YE15","At Ta'iziyah","YE1520",295,345,160,100,200,150,578,2166.5,598,8
"59","2020-05-01","Taizz","YE15","Al Ma'afer","YE1521",250,325,150,125,144.5,95.5,515.5,1750,695,10
"60","2020-05-01","Taizz","YE15","Al Mawasit","YE1522",250,325,150,100,150,109,530,2000,686,11
"61","2020-05-01","Al Jawf","YE16","Al Hazm","YE1605",225,325,200,1000,250,100,750,1250,670,3
