"","date","government_name","government_ID","petrol","diesel","bottled_water","treated_water","soap","laundry_powder","sanitary_napkins","cost_cubic_meter","exchange_rates","num_obs"
"1","2020-04-01","Ibb","YE11",295,345,150,100,200,150,556,2000,599,5
"2","2020-04-01","Sana'a City","YE13",295,345,120,137.5,140,100,500,6000,599,21
"3","2020-04-01","Al Bayda","YE14",295,345,100,170,NA,NA,NA,NA,600,5
"4","2020-04-01","Taizz","YE15",210,287.5,180,100,150,120,500,2000,674.5,72
"5","2020-04-01","Al Jawf","YE16",275,475,200,NA,250,100,625,1300,620,3
"6","2020-04-01","Hajjah","YE17",295,350,150,110,150,125,550,2667,598,35
"7","2020-04-01","Al Hudaydah","YE18",295,350,150,100,125,110,490,2100,599.5,22
"8","2020-04-01","Dhamar","YE20",295,345,130,500,150,120,500,750,601,3
"9","2020-04-01","Sa'ada","YE22",300,345,120,170,140,200,600,3000,600,15
"10","2020-04-01","Sana'a","YE23",295,345,95,165,120,120,700,800,599,10
"11","2020-04-01","Aden","YE24",165,200,180,100,135,90,500,1200,680,23
"12","2020-04-01","Lahj","YE25",165,250,100,100,150,100,500,1600,672,19
"13","2020-04-01","Marib","YE26",175,300,80,NA,130,140,150,1000,680,32
"14","2020-04-01","Amran","YE29",295,345,120,150,150,118,500,1000,599,13
"15","2020-03-01","Ibb","YE11",365,430,150,100,200,150,550,2500,591.5,6
"16","2020-03-01","Sana'a City","YE13",365,430,130,120,150,110,500,1200,597,25
"17","2020-03-01","Al Bayda","YE14",365,430,100,150,NA,NA,NA,NA,596,4
"18","2020-03-01","Taizz","YE15",365,430,150,100,150,120,535,2333,655,56
"19","2020-03-01","Al Jawf","YE16",390,NA,150,NA,224,83,550,1417,650,3
"20","2020-03-01","Hajjah","YE17",365,430,150,137.5,150,105,500,2667,594,25
"21","2020-03-01","Al Hudaydah","YE18",375,440,150,150,150,120,420,3000,597,21
"22","2020-03-01","Dhamar","YE20",365,430,120,500,150,120,500,1000,595,3
"23","2020-03-01","Sa'ada","YE22",370,450,120,150,150,180,550,2500,597,12
"24","2020-03-01","Sana'a","YE23",365,427.5,100,147.5,120,118,700,1000,595,10
"25","2020-03-01","Aden","YE24",322,353,175,85,132.5,75,500,2600,658,23
"26","2020-03-01","Lahj","YE25",322,350,150,90,150,91,500,1500,655,19
"27","2020-03-01","Marib","YE26",175,NA,70,50,110,130,650,1666.5,650,37
"28","2020-03-01","Amran","YE29",365,430,100,100,150,120,500,1000,598,17
"29","2020-02-01","Ibb","YE11",365,430,150,100,200,150,500,2333,596,5
"30","2020-02-01","Sana'a City","YE13",365,430,120,120,150,100,490,1400,596.5,23
"31","2020-02-01","Al Bayda","YE14",365,420,100,160,NA,NA,NA,NA,590,3
"32","2020-02-01","Taizz","YE15",400,430,150,100,150,120,550,2500,650,73
"33","2020-02-01","Al Jawf","YE16",380,NA,150,NA,210,80,500,4167,650,3
"34","2020-02-01","Hajjah","YE17",372.5,440,150,150,150,123.5,500,2583.5,596,36
"35","2020-02-01","Al Hudaydah","YE18",375,440,150,150,145,120,460,2000,590,18
"36","2020-02-01","Dhamar","YE20",365,430,100,500,150,100,500,1000,595,3
"37","2020-02-01","Shabwah","YE21",385,400,100,60,160,130,550,1700,660,6
"38","2020-02-01","Sa'ada","YE22",370,440,150,160,160,190,600,3000,600,13
"39","2020-02-01","Sana'a","YE23",365,420,100,160,150,109,700,1000,590,9
"40","2020-02-01","Aden","YE24",380,390,150,80,150,75,500,3000,663,23
"41","2020-02-01","Lahj","YE25",360,400,170,100,150,109,500,1500,660,19
"42","2020-02-01","Marib","YE26",175,350,60,50,100,99,700,4000,660,3
"43","2020-02-01","Amran","YE29",365,430,100,100,150,120,500,6000,595,19
"44","2020-01-01","Ibb","YE11",365,430,150,100,186,150,578,2333,595,6
"45","2020-01-01","Sana'a City","YE13",365,430,120,100,150,100,500,1500,593,27
"46","2020-01-01","Al Bayda","YE14",365,430,100,150,NA,NA,NA,NA,587,3
"47","2020-01-01","Taizz","YE15",400,430,150,100,150,120,525,2000,635,71
"48","2020-01-01","Al Jawf","YE16",350,NA,150,NA,245,79,500,4000,657.5,3
"49","2020-01-01","Hajjah","YE17",375,440,150,175,150,135,510,2667,595,33
"50","2020-01-01","Al Hudaydah","YE18",375,440,150,150,145,130,420,2500,570,20
"51","2020-01-01","Dhamar","YE20",365,430,95,NA,150,100,473,1000,597,3
"52","2020-01-01","Shabwah","YE21",282.5,360,100,100,190,100,600,NA,647.5,6
"53","2020-01-01","Sa'ada","YE22",370,430,130,145,140,170,555,4000,587,9
"54","2020-01-01","Sana'a","YE23",365,430,100,150,120,182,700,1000,587,9
"55","2020-01-01","Aden","YE24",340,375,150,80,150,75,500,3000,654,26
"56","2020-01-01","Lahj","YE25",340,390,100,100,150,100,500,1500,665,19
"57","2020-01-01","Marib","YE26",175,NA,NA,125,205,98,450,4000,650,3
"58","2020-01-01","Amran","YE29",365,430,100,150,150,110,500,4000,584,13
"59","2019-12-01","Ibb","YE11",365,430,140,100,200,150,550,2000,580,6
"60","2019-12-01","Sana'a City","YE13",365,430,120,100,150,120,500,1350,575,21
"61","2019-12-01","Al Bayda","YE14",370,420,100,150,NA,NA,NA,720,578,3
"62","2019-12-01","Taizz","YE15",365,430,150,100,150,115,500,2000,583,49
"63","2019-12-01","Hajjah","YE17",365,430,100,150,150,120,500,2667,582,25
"64","2019-12-01","Al Hudaydah","YE18",375,440,150,110,140,130,420,8500,586,21
"65","2019-12-01","Sa'ada","YE22",365,420,100,150,NA,NA,NA,780,578,4
"66","2019-12-01","Sana'a","YE23",365,420,100,150,150,182,700,720,576,9
"67","2019-12-01","Aden","YE24",340,355,150,80,150,75,500,3000,603,20
"68","2019-12-01","Lahj","YE25",340,380,150,100,150,100,500,1500,599,13
"69","2019-12-01","Marib","YE26",NA,NA,103,250,150,150,600,NA,NA,11
"70","2019-12-01","Amran","YE29",365,430,110,150,150,100,500,950,580,10
"71","2019-11-01","Ibb","YE11",365,430,150,NA,120,85.5,500,1285,569,10
"72","2019-11-01","Sana'a City","YE13",365,430,120,120,150,109,500,1700,575,13
"73","2019-11-01","Al Bayda","YE14",370,412.5,NA,NA,NA,NA,NA,600,NA,4
"74","2019-11-01","Taizz","YE15",365,380,150,100,150,104.5,525,2500,571.5,59
"75","2019-11-01","Hajjah","YE17",437.5,500,150,150,158,140,500,3500,570,40
"76","2019-11-01","Al Hudaydah","YE18",375,440,160,100,150,135,430,3750,580,20
"77","2019-11-01","Shabwah","YE21",350,400,100,50,100,120,500,1500,578,8
"78","2019-11-01","Sa'ada","YE22",365,425,120,200,130,160,700,1100,590,19
"79","2019-11-01","Sana'a","YE23",365,410,100,185,150,200,700,750,575,11
"80","2019-11-01","Aden","YE24",350,NA,150,80,150,75,500,3000,573,15
"81","2019-11-01","Lahj","YE25",350,390,150,100,150,100,500,1500,570,13
"82","2019-11-01","Marib","YE26",NA,NA,100,125,300,150,600,5000,580,24
"83","2019-11-01","Amran","YE29",365,430,120,200,165,104.5,500,925,570,10
"84","2019-10-01","Ibb","YE11",NA,NA,150,100,150,100,313,1062.5,575,8
"85","2019-10-01","Sana'a City","YE13",365,430,120,120,150,109,480,1975,583,23
"86","2019-10-01","Al Bayda","YE14",365,400,120,120,120,150,550,1400,590,3
"87","2019-10-01","Taizz","YE15",390,420,150,100,150,100,500,2500,571.5,48
"88","2019-10-01","Hajjah","YE17",475,500,150,200,150,150,540,3750,584,35
"89","2019-10-01","Al Hudaydah","YE18",375,440,150,100,150,120,420,3000,583,21
"90","2019-10-01","Shabwah","YE21",385,410,100,750,135,110,500,1400,590,6
"91","2019-10-01","Sa'ada","YE22",365,390,100,120,120,150,550,5000,590,3
"92","2019-10-01","Sana'a","YE23",365,390,100,120,120,150,550,2500,570,7
"93","2019-10-01","Aden","YE24",350,NA,150,80,150,75,500,5000,593,21
"94","2019-10-01","Lahj","YE25",350,390,150,100,150,100,500,2000,590,13
"95","2019-10-01","Amran","YE29",365,NA,120,450,150,100,600,950,585,10
"96","2019-09-01","Ibb","YE11",NA,NA,125,200,125,125,500,1875,590,7
"97","2019-09-01","Sana'a City","YE13",365,NA,120,120,150,109,500,1800,600,23
"98","2019-09-01","Al Bayda","YE14",370,400,100,120,100,150,600,1450,600,3
"99","2019-09-01","Taizz","YE15",385,420,170,100,150,120,650,3000,604,53
"100","2019-09-01","Hajjah","YE17",600,500,125,150,150,120,550,3250,598.5,35
"101","2019-09-01","Al Hudaydah","YE18",850,800,160,90,140,130,400,3500,605,19
"102","2019-09-01","Shabwah","YE21",355,390,100,150,150,120,500,1400,607,6
"103","2019-09-01","Sa'ada","YE22",400,440,140,120,150,220,700,1000,605,9
"104","2019-09-01","Sana'a","YE23",365,400,100,120,110,165,600,1550,600,6
"105","2019-09-01","Aden","YE24",350,NA,150,80,150,75,500,3000,602.5,20
"106","2019-09-01","Lahj","YE25",350,380,100,125,150,100,500,2000,605,13
"107","2019-08-01","Ibb","YE11",365,430,150,200,120,120,600,1125,585,12
"108","2019-08-01","Sana'a City","YE13",365,425,150,120,150,100,600,NA,598,3
"109","2019-08-01","Al Bayda","YE14",370,400,100,120,100,150,550,1450,580,3
"110","2019-08-01","Taizz","YE15",475,450,150,100,150,150,600,3500,587,45
"111","2019-08-01","Hajjah","YE17",367.5,435,120,150,130,120,650,3500,580,15
"112","2019-08-01","Al Hudaydah","YE18",375,440,150,100,140,120,400,2500,600,19
"113","2019-08-01","Shabwah","YE21",400,405,100,NA,175,130,500,1562,605,6
"114","2019-08-01","Sa'ada","YE22",400,440,125,120,130,150,650,925,580,12
"115","2019-08-01","Sana'a","YE23",365,400,100,120,100,150,550,1400,580,10
"116","2019-08-01","Aden","YE24",350,NA,150,85,150,75,500,5000,589.5,20
"117","2019-08-01","Lahj","YE25",422.5,400,150,125,150,100,500,1000,592,13
"118","2019-08-01","Amran","YE29",365,430,120,400,150,95.5,500,1000,586.5,10
"119","2019-08-01","Socotra","YE32",200,235,150,120,150,130,670,800,590,3
"120","2019-07-01","Ibb","YE11",525,455,140,220,150,100,460,1416.5,571,15
"121","2019-07-01","Sana'a City","YE13",365,430,120,300,150,100,480,1800,575,3
"122","2019-07-01","Al Bayda","YE14",365,410,100,120,100,150,550,1300,550,5
"123","2019-07-01","Taizz","YE15",400,425,150,100,150,120,553,3000,572,61
"124","2019-07-01","Hajjah","YE17",375,440,130,100,130,100,500,3250,575,16
"125","2019-07-01","Al Hudaydah","YE18",382.5,430,150,130,125,120,400,3000,578,22
"126","2019-07-01","Shabwah","YE21",390,375,100,100,140,113.5,500,1200,581.5,6
"127","2019-07-01","Sa'ada","YE22",365,410,100,120,125,150,550,1250,550,4
"128","2019-07-01","Sana'a","YE23",365,410,100,110,115,130,550,1350,550,10
"129","2019-07-01","Aden","YE24",350,NA,150,80,120,75,500,3250,583,20
"130","2019-07-01","Lahj","YE25",350,370,150,125,150,100,500,500,580,13
"131","2019-07-01","Socotra","YE32",200,235,150,120,130,140,680,800,580,3
"132","2019-06-01","Ibb","YE11",360,400,120,200,125,110,600,1229,555,10
"133","2019-06-01","Sana'a City","YE13",365,430,115,215,130,115,495,1500,560,6
"134","2019-06-01","Al Bayda","YE14",365,400,110,120,100,150,550,1600,590,5
"135","2019-06-01","Taizz","YE15",390,400,150,100,160,111,553,2000,558,60
"136","2019-06-01","Hajjah","YE17",387.5,440,120,150,150,115,525,3500,550,21
"137","2019-06-01","Al Hudaydah","YE18",400,420,150,175,130,120,400,2000,560,26
"138","2019-06-01","Shabwah","YE21",350,360,100,200,110,120,528,1250,560,6
"139","2019-06-01","Sa'ada","YE22",365,425,135,130,140,150,650,1000,560,12
"140","2019-06-01","Sana'a","YE23",365,410,100,120,100,150,540,1500,550,9
"141","2019-06-01","Aden","YE24",325,350,150,100,120,75,500,3000,564,20
"142","2019-06-01","Lahj","YE25",340,350,150,105,150,100,500,500,560,13
"143","2019-06-01","Amran","YE29",365,425,120,450,150,91,750,950,560,10
"144","2019-06-01","Socotra","YE32",235,245,130,125,150,130,800,850,565,3
"145","2019-05-01","Ibb","YE11",475,470,120,500,149,109,450,1286,535,19
"146","2019-05-01","Sana'a City","YE13",365,430,100,270,130,125,490,1525,542.5,6
"147","2019-05-01","Al Bayda","YE14",365,425,110,100,120,150,520,3500,510,3
"148","2019-05-01","Taizz","YE15",375,410,130,100,150,100,500,2000,540,66
"149","2019-05-01","Hajjah","YE17",370,435,120,120,150,115,500,3300,530,20
"150","2019-05-01","Al Hudaydah","YE18",375,440,150,130,130,120,400,1500,530,25
"151","2019-05-01","Shabwah","YE21",345,357.5,100,150,125,114.5,500,1430,530,6
"152","2019-05-01","Sa'ada","YE22",500,425,170,15,190,180,765,3000,535,14
"153","2019-05-01","Sana'a","YE23",365,425,100,100,100,150,500,1900,540,9
"154","2019-05-01","Aden","YE24",325,360,140,85,120,75,500,1000,540,20
"155","2019-05-01","Lahj","YE25",325,350,150,115,100,100,600,500,535,13
"156","2019-05-01","Amran","YE29",365,425,120,400,150,100,750,1050,553,10
"157","2019-05-01","Socotra","YE32",230,235,115,100,150,140,650,800,530,3
"158","2019-04-01","Sana'a City","YE13",365,430,100,80,100,100,550,1333,525,48
"159","2019-04-01","Al Bayda","YE14",750,700,120,100,130,150,630,4500,510,3
"160","2019-04-01","Taizz","YE15",425,430,120,100,150,111,500,2000,515,64
"161","2019-04-01","Hajjah","YE17",650,440,120,162.5,137.5,100,525,3000,505,25
"162","2019-04-01","Al Hudaydah","YE18",390,390,130,110,130,120,370,2250,511,42
"163","2019-04-01","Dhamar","YE20",875,938,140,400,120,140,750,3500,525,9
"164","2019-04-01","Shabwah","YE21",360,360,100,100,115,120,500,1300,510,6
"165","2019-04-01","Sa'ada","YE22",485,425,150,100,135,155,690,1100,515,12
"166","2019-04-01","Sana'a","YE23",365,430,100,70,150,100,500,1400,520,30
"167","2019-04-01","Aden","YE24",315,365,140,125,125,87.5,475,3500,510,20
"168","2019-04-01","Lahj","YE25",315,365,150,130,100,100,500,500,510,13
"169","2019-04-01","Amran","YE29",365,430,110,400,150,100,833,1050,523,10
"170","2019-04-01","Socotra","YE32",235,235,130,NA,150,130,650,800,500,3
"171","2019-03-01","Ibb","YE11",365,430,120,500,130,90.90909091,500,2000,580,18
"172","2019-03-01","Abyan","YE12",340,375,120,100,204,80,550,2000,547.5,3
"173","2019-03-01","Sana'a City","YE13",365,430,100,100,120,100,500,1166,525,57
"174","2019-03-01","Al Bayda","YE14",390,450,150,120,170,180,600,5000,600,3
"175","2019-03-01","Taizz","YE15",375,430,120,100,150,100,525,2000,580,65
"176","2019-03-01","Al Jawf","YE16",375,435,110,310,100,100,850,900,570,3
"177","2019-03-01","Hajjah","YE17",375,430,120,100,130,100,625,4500,560,16
"178","2019-03-01","Al Hudaydah","YE18",375,410,150,72.5,120,109.5,375,2500,542.5,44
"179","2019-03-01","Dhamar","YE20",375,430,105,340,120,120,560,3200,590,12
"180","2019-03-01","Shabwah","YE21",350,365,100,150,135,119,500,2700,585,6
"181","2019-03-01","Sa'ada","YE22",375,430,130,150,150,140,650,1600,560,17
"182","2019-03-01","Sana'a","YE23",365,430,100,70,150,100,500,1275,571,30
"183","2019-03-01","Aden","YE24",290,355,140,90,120,136,500,3000,585,20
"184","2019-03-01","Lahj","YE25",300,375,150,100,150,91,550,1000,585,13
"185","2019-03-01","Amran","YE29",365,430,120,200,150,109,791.5,950,587.5,10
"186","2019-03-01","Al Dhale'e","YE30",330,380,110,100,210.5,77.5,500,2250,545,6
"187","2019-03-01","Socotra","YE32",230,230,120,NA,160,140,700,900,560,3
"188","2019-02-01","Ibb","YE11",325,375,130,200,135,120,550,3000,557.5,12
"189","2019-02-01","Sana'a City","YE13",325,375,100,110,120,100,500,1500,595,54
"190","2019-02-01","Taizz","YE15",325,340,120,100,122.96296295,97.91666667,550,2000,580,74
"191","2019-02-01","Al Jawf","YE16",325,375,100,350,100,120,NA,875,590,3
"192","2019-02-01","Hajjah","YE17",325,375,120,100,120,100,500,1250,590,22
"193","2019-02-01","Al Hudaydah","YE18",325,375,150,75,150,120,410,1500,590,59
