"","date","government_name","government_ID","petrol","diesel","bottled_water","treated_water","soap","laundry_powder","sanitary_napkins","cost_cubic_meter","exchange_rates","num_obs"
"1","2020-06-01","Sana'a City","YE13",295,345,100,100,120,120,550,5000,595,22
"2","2020-06-01","Taizz","YE15",315,350,150,100,150,120,575,3325,740,46
"3","2020-06-01","Al Jawf","YE16",750,NA,200,1000,250,100,780,1500,670,3
"4","2020-06-01","Hajjah","YE17",700,750,150,100,150,127.5,500,2250,615,30
"5","2020-06-01","Al Hudaydah","YE18",325,350,160,NA,130,130,480,NA,620,16
"6","2020-06-01","Dhamar","YE20",750,850,150,500,150,120,500,1000,622,3
"7","2020-06-01","Sana'a","YE23",NA,345,100,165,NA,NA,NA,NA,618,6
"8","2020-06-01","Aden","YE24",280,290,200,100,150,100,550,1200,742.5,21
"9","2020-06-01","Lahj","YE25",300,322.5,200,200,200,116,575,1700,744,20
"10","2020-06-01","Marib","YE26",175,325,65,50,150,130,550,1000,740,3
"11","2020-06-01","Amran","YE29",NA,NA,125,110,165,120,500,1000,618,13
"12",NA,NA,"YE12",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"13",NA,NA,"YE14",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"14",NA,NA,"YE19",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"15",NA,NA,"YE30",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"16",NA,NA,"YE11",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"17",NA,NA,"YE13",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"18",NA,NA,"YE15",NA,NA,NA,NA,NA,NA,NA,NA,NA,57
"19",NA,NA,"YE16",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"20",NA,NA,"YE17",NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"21",NA,NA,"YE18",NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"22",NA,NA,"YE20",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"23",NA,NA,"YE22",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"24",NA,NA,"YE23",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"25",NA,NA,"YE24",NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"26",NA,NA,"YE25",NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"27",NA,NA,"YE26",NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"28",NA,NA,"YE29",NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"29",NA,NA,"YE11",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"30",NA,NA,"YE13",NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"31",NA,NA,"YE14",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"32",NA,NA,"YE15",NA,NA,NA,NA,NA,NA,NA,NA,NA,72
"33",NA,NA,"YE16",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"34",NA,NA,"YE17",NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"35",NA,NA,"YE18",NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"36",NA,NA,"YE20",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"37",NA,NA,"YE22",NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"38",NA,NA,"YE23",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"39",NA,NA,"YE24",NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"40",NA,NA,"YE25",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"41",NA,NA,"YE26",NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"42",NA,NA,"YE29",NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"43",NA,NA,"YE11",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"44",NA,NA,"YE13",NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"45",NA,NA,"YE14",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"46",NA,NA,"YE15",NA,NA,NA,NA,NA,NA,NA,NA,NA,56
"47",NA,NA,"YE16",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"48",NA,NA,"YE17",NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"49",NA,NA,"YE18",NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"50",NA,NA,"YE20",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"51",NA,NA,"YE22",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"52",NA,NA,"YE23",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"53",NA,NA,"YE24",NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"54",NA,NA,"YE25",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"55",NA,NA,"YE26",NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"56",NA,NA,"YE29",NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"57",NA,NA,"YE11",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"58",NA,NA,"YE13",NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"59",NA,NA,"YE14",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"60",NA,NA,"YE15",NA,NA,NA,NA,NA,NA,NA,NA,NA,73
"61",NA,NA,"YE16",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"62",NA,NA,"YE17",NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"63",NA,NA,"YE18",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"64",NA,NA,"YE20",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"65",NA,NA,"YE21",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"66",NA,NA,"YE22",NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"67",NA,NA,"YE23",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"68",NA,NA,"YE24",NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"69",NA,NA,"YE25",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"70",NA,NA,"YE26",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"71",NA,NA,"YE29",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"72",NA,NA,"YE11",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"73",NA,NA,"YE13",NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"74",NA,NA,"YE14",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"75",NA,NA,"YE15",NA,NA,NA,NA,NA,NA,NA,NA,NA,71
"76",NA,NA,"YE16",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"77",NA,NA,"YE17",NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"78",NA,NA,"YE18",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"79",NA,NA,"YE20",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"80",NA,NA,"YE21",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"81",NA,NA,"YE22",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"82",NA,NA,"YE23",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"83",NA,NA,"YE24",NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"84",NA,NA,"YE25",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"85",NA,NA,"YE26",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"86",NA,NA,"YE29",NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"87",NA,NA,"YE11",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"88",NA,NA,"YE13",NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"89",NA,NA,"YE14",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"90",NA,NA,"YE15",NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"91",NA,NA,"YE17",NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"92",NA,NA,"YE18",NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"93",NA,NA,"YE22",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"94",NA,NA,"YE23",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"95",NA,NA,"YE24",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"96",NA,NA,"YE25",NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"97",NA,NA,"YE26",NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"98",NA,NA,"YE29",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"99",NA,NA,"YE11",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
