"","date","petrol","diesel","bottled_water","treated_water","soap","laundry_powder","sanitary_napkins","cost_cubic_meter","exchange_rates","num_obs"
"1","2020-06-01",325,350,150,100,150,120,500,2000,620,170
"2","2020-05-01",295,345,150,100,150,120,500,2000,600,234
"3","2020-04-01",295,345,150,100,150,120,500,2000,600,218
"4","2020-03-01",365,430,150,100,150,120,500,2000,597,224
"5","2020-02-01",365,430,150,100,150,120,500,2333,596,238
"6","2020-01-01",365,430,150,100,150,110,500,2000,595,184
"7","2019-12-01",365,430,140,100,150,115,500,2000,582,173
"8","2019-11-01",365,430,150,100,150,120,500,2500,570,180
"9","2019-10-01",375,422.5,130,110,150,120,500,2333,584,168
"10","2019-09-01",375,410,150,100,150,120,550,2500,603,152
"11","2019-08-01",375,430,150,100,150,135,550,2500,589,140
"12","2019-07-01",375,425,130,100,130,120,500,2250,575,175
"13","2019-06-01",375,400,130,110,140,120,550,1800,560,201
"14","2019-05-01",365,420,130,100,150,109,500,2000,535,186
"15","2019-04-01",400,430,120,100,140,110,500,2000,515,259
"16","2019-03-01",365,430,120,100,140,104.5,500,1500,570,279
"17","2019-02-01",325,375,110,100,130,100,500,1500,580,338
"18","2019-01-01",410,410,120,100,130,100,500,1575,542,323
"19","2018-12-01",400,450,120,100,130,100,520,1600,500,339
"20","2018-11-01",550,550,150,110,150,120,600,1500,530,299
"21","2018-10-01",580,580,150,200,150,120,650,1500,745,273
"22","2018-09-01",675,600,135,140,160,90.9090909090909,510,1400,700,326
"23","2018-08-01",410,400,110,100,142.857142857143,100,450,1375,NA,265
"24","2018-07-01",375,375,100,100,120,80,400,1000,NA,294
"25","2018-06-01",375,375,100,100,100,80,400,1250,NA,312
"26","2018-05-01",365,365,100,200,100,77.7777777777778,350,1100,NA,294
"27","2018-04-01",360,360,80,140,100,80,360,NA,NA,271
